22:30:13:091 [ALWAYS]	GUDE Logging Started
22:30:13:091 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:30:13:091 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:30:13:091 [ERROR]	Initialize resume cache pointer failure
22:30:13:091 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
22:30:13:091 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
22:30:14:182 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
22:30:14:182 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:30:14:182 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:30:14:183 [ERROR]	Initialize resume cache pointer failure
22:30:14:183 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
22:30:14:183 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
