14:26:26:120 [ALWAYS]	GUDE Logging Started
14:26:26:120 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
14:26:26:120 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
14:26:26:120 [ERROR]	Initialize resume cache pointer failure
14:26:26:120 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
14:26:26:120 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
14:26:27:160 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
14:26:27:160 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
14:26:27:160 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
14:26:27:160 [ERROR]	Initialize resume cache pointer failure
14:26:27:160 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
14:26:27:161 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
